idx	char
1882	绍
1883	经
1884	绑
1885	结
1886	绕
1887	绘
1888	给
1889	络
1890	绝
1891	统
1892	绣
1893	继
1894	绪
1895	续
1896	维
1897	绷
1898	综
1899	绽
1900	绿
1901	缀
1902	缓
1903	缕
1904	编
1905	缘
1906	缝
1907	缩
1908	缭
1909	缸
1910	缺
1911	罗
1912	罚
1913	罩
1914	罪
1915	羊
1916	美
1917	羞
1918	羡
1919	群
1920	羽
1921	翅
1922	翔
1923	翘
1924	翠
1925	翰
1926	翻
1927	翼
1928	耀
1929	老
1930	考
1931	者
1932	而
1933	耍
1934	耐
1935	耳
1936	耶
1937	耿
1938	聆
1939	聊
1940	聋
1941	联
1942	聲
1943	聽
1944	肉
1945	肌
1946	肖
1947	肚
1948	肠
1949	股
1950	肢
1951	肤
1952	肩
1953	肮
1954	肯
1955	育
1956	肺
1957	胁
1958	胆
1959	背
1960	胖
1961	胚
1962	胜
1963	胡
1964	胧
1965	胭
1966	胸
1967	能
1968	脂
1969	脆
1970	脉
1971	脏
1972	脑
1973	脚
1974	脱
1975	脸
1976	脾
1977	腐
1978	腔
1979	腥
1980	腮
1981	腰
1982	腳
1983	腻
1984	腾
1985	腿
1986	膀
1987	膏
1988	膛
1989	臀
1990	臂
1991	臨
1992	自
1993	至
1994	致
1995	臺
1996	與
1997	舌
1998	舍
1999	舞
2000	舢
2001	般
2002	舱
2003	船
2004	良
2005	色
2006	艳
2007	艷
2008	艺
2009	艾
2010	节
2011	芒
2012	芙
2013	芜
2014	芬
2015	芭
2016	花
2017	芳
2018	芽
2019	苁
2020	苍
2021	苏
2022	苓
2023	苔
2024	苗
2025	苛
2026	苞
2027	若
2028	苦
2029	英
2030	苹
2031	范
2032	茄
2033	茉
2034	茧
2035	茫
2036	茵
2037	茶
2038	茸
2039	荆
2040	草
2041	荒
2042	荡
2043	荣
2044	药
2045	荷
2046	莉
2047	莎
2048	莓
2049	莫
2050	莱
2051	莲
2052	莹
2053	菊
2054	菜
2055	菸
2056	萎
2057	萝
2058	萤
2059	营
2060	萧
2061	萨
2062	落
2063	葉
2064	著
2065	葛
2066	董
2067	葥
2068	葬
2069	蒙
2070	蒲
2071	蒸
2072	蓉
2073	蓝
2074	蔓
2075	蔚
2076	蔡
2077	蔷
2078	蔽
2079	蕃
2080	蕉
2081	蕨
2082	蕭
2083	蕾
2084	薄
2085	薇
2086	藍
2087	藏
2088	藓
2089	藤
2090	蘭
2091	虔
2092	虚
2093	虫
2094	虹
2095	虽
2096	蚁
2097	蚂
2098	蛇
2099	蛋
2100	蛛
2101	蛦
2102	蛮
2103	蜀
